No,Contents
2868,"Estoy en mi casa comiendo mi cena caliente en mi cómoda cama, mientras esos hijueputas venecos que me atracaron deben estar durmiendo en el piso con un pisapapeles pantalla rota marca ASUS y una maleta con un saco, una coca vacía y la basura de 15 días. Nada más que agregar 😤"
2869,"RT @Jeskaze: A este líder social de @petrogustavo se le chispoteó y terminó confesando qué va a ser de Colombia cuando el chavista @petrogustavo sea presidente. “Ya los veo huyendo a Miami como ratas”, dice. Debió haber dicho “como venezolanos”. Sigan jugando con candela. https://t.co/UrH7ltvmqU"
2871,"RT @Jeskaze: A este líder social de @petrogustavo se le chispoteó y terminó confesando qué va a ser de Colombia cuando el chavista @petrogustavo sea presidente. “Ya los veo huyendo a Miami como ratas”, dice. Debió haber dicho “como venezolanos”. Sigan jugando con candela. https://t.co/UrH7ltvmqU"
2872,RT @ernestomaciast: Colombia no tiene recursos para recibir y atender la grave crisis humanitaria de venezolanos que sigue llegando al país. Nuestros hospitales están colapsando y la inseguridad es creciente. La Dictadura tiene que terminar.
2873,@NoticiasCaracol Me hace feliz que saquen esos venezolanos ladrones y asesinos de Colombia
2879,RT @ernestomaciast: Colombia no tiene recursos para recibir y atender la grave crisis humanitaria de venezolanos que sigue llegando al país. Nuestros hospitales están colapsando y la inseguridad es creciente. La Dictadura tiene que terminar.
2886,"QT @lilianrangel: RT @zuricht94: Mira @NicolasMaduro se te fueron 85 músicos... Se fueron para “siempre” porque tú das y que... mucho amor del bueno... Ahh… ; Ellos son mi Venezuela, la delincuencia organizada es la que está destruyendo nuestro hermoso país. Arriba los Venezolanos!!!! https://t.co/1cdxpKnvDS"
2890,"RT @GAlessandra_: En Harvard University ¿si sabrán que tienen como profesor a un chimbo Nobel, que además es el malvado que puso a Lorent Saleh en las criminales garras de la dictadura venezolana y que es un mentiroso compulsivo? Qué tal la changüita."
2892,"RT @Jeskaze: A este líder social de @petrogustavo se le chispoteó y terminó confesando qué va a ser de Colombia cuando el chavista @petrogustavo sea presidente. “Ya los veo huyendo a Miami como ratas”, dice. Debió haber dicho “como venezolanos”. Sigan jugando con candela. https://t.co/UrH7ltvmqU"
2893,@rabodeajip Puede el alcalde prohibir a los comerciantes de el municipio contratar Venezolanos y amenazar a los q lo hagan con multas por 10 o 15 millones de pesos??
2894,"QT @MichaelDonatto: Y tras de ladrones bien morbosos. ; Me robaron dos venecos antiayer, casi me hacen daño, por un lado debo decir que me alegra haber salido ileso del atraco y por otro lado VENECOS TRIPLEHIJUEPUTAS, LOS ODIO, YA ESTOY MAMADO HASTA DE ESCUCHAR ""CHAMO REGALAME UNA MONEDA"" EN CADA ESQUINA"
2901,"RT @Jeskaze: A este líder social de @petrogustavo se le chispoteó y terminó confesando qué va a ser de Colombia cuando el chavista @petrogustavo sea presidente. “Ya los veo huyendo a Miami como ratas”, dice. Debió haber dicho “como venezolanos”. Sigan jugando con candela. https://t.co/UrH7ltvmqU"
2904,"QT @liliantintori: RT @_Citrico: Se hubieran tirado de un décimo piso mejor https://t.co/7YViKWrtsO ; Nos tiramos al piso en nombre de los 3 presos políticos que han muerto en el SEBIN, pero también en nombre de todos los venezolanos que han muerto porque no tenían comida, medicinas o los asesinó la inseguridad #DDHH https://t.co/umvmWBR0QH"
2906,RT @ernestomaciast: Colombia no tiene recursos para recibir y atender la grave crisis humanitaria de venezolanos que sigue llegando al país. Nuestros hospitales están colapsando y la inseguridad es creciente. La Dictadura tiene que terminar.
2907,"RT @Jeskaze: A este líder social de @petrogustavo se le chispoteó y terminó confesando qué va a ser de Colombia cuando el chavista @petrogustavo sea presidente. “Ya los veo huyendo a Miami como ratas”, dice. Debió haber dicho “como venezolanos”. Sigan jugando con candela. https://t.co/UrH7ltvmqU"
2909,RT @ernestomaciast: Colombia no tiene recursos para recibir y atender la grave crisis humanitaria de venezolanos que sigue llegando al país. Nuestros hospitales están colapsando y la inseguridad es creciente. La Dictadura tiene que terminar.
2914,"RT @94Betancoury: @alternoso @matadoreltiempo Colombia Es un país con un desplazamiento interno grandísimo, un Chocoano o un llanero sienten lo mismo al llegar a Bogotá que un Venezolano. Un país así debería tener empatía, lo cual me hace pensar que Colombia es un país de hijueputas o al menos un gran porcentaje de su gente"
2919,"@ArribaBogota Desgraciado venecos . porq city no se preocupa por los millones de colombianos sin trabajo, sin salud, sin comida, sin vivienda en vez de estar buscando apoyo para estos desgraciados? PRIMERO COLOMBIA Y ESAS RATAS FUERA DE NTRO PAIS"
2925,RT @EdoCote: Pregunto: Hay un plan orquestado por @NicolasMaduro para expulsar cinco (5) millones de Venezolanos porque no tienen como mantenerlos en estas navidades? ¿Premeditadamente nos van a invadir en Noviembre-Diciembre? @CeDemocratico @IvanDuque @AlvaroUribeVel @ernestomaciast
2926,RT @ernestomaciast: Colombia no tiene recursos para recibir y atender la grave crisis humanitaria de venezolanos que sigue llegando al país. Nuestros hospitales están colapsando y la inseguridad es creciente. La Dictadura tiene que terminar.
2928,RT @ernestomaciast: Colombia no tiene recursos para recibir y atender la grave crisis humanitaria de venezolanos que sigue llegando al país. Nuestros hospitales están colapsando y la inseguridad es creciente. La Dictadura tiene que terminar.
2931,"RT @liliantintori: Nos tiramos al piso en nombre de los 3 presos políticos que han muerto en el SEBIN, pero también en nombre de todos los venezolanos que han muerto porque no tenían comida, medicinas o los asesinó la inseguridad #DDHH https://t.co/umvmWBR0QH"
2933,"QT @liliantintori: RT @carmelodifazio: ¡Y así queremos ser libres! Luego dicen que yo soy el radical o nube negra. No me quiero imaginar si esta tipa hubiese… ; Nos tiramos al piso en nombre de los 3 presos políticos que han muerto en el SEBIN, pero también en nombre de todos los venezolanos que han muerto porque no tenían comida, medicinas o los asesinó la inseguridad #DDHH https://t.co/umvmWBR0QH"
2934,@PartidoPSUV @dcabellor @NicolasMaduro Venga a Colombia por sus gran putas venecos ratas
2935,"RT @Jeskaze: A este líder social de @petrogustavo se le chispoteó y terminó confesando qué va a ser de Colombia cuando el chavista @petrogustavo sea presidente. “Ya los veo huyendo a Miami como ratas”, dice. Debió haber dicho “como venezolanos”. Sigan jugando con candela. https://t.co/UrH7ltvmqU"
2939,@elespectador Muy linda la noticia pero ¿Qué van a hacer con la inseguridad generada por lo venezolanos? ¿Qué van a hacer con los que cobran exagerado por los servicios?
2942,"RT @AlfredoAmin1: Voló a la libertad Saleh, ese muchacho que Santos entrego a la tiranía venezolana solo por el afán de llevar su plan de erigirse como un nobel de paz. Vulgar mandatario que complació a criminales sobre la injusticia y el dolor ajeno. Que grande sería Colombia si tuviera justicia."
2944,RT @ernestomaciast: Colombia no tiene recursos para recibir y atender la grave crisis humanitaria de venezolanos que sigue llegando al país. Nuestros hospitales están colapsando y la inseguridad es creciente. La Dictadura tiene que terminar.
2945,RT @ernestomaciast: Colombia no tiene recursos para recibir y atender la grave crisis humanitaria de venezolanos que sigue llegando al país. Nuestros hospitales están colapsando y la inseguridad es creciente. La Dictadura tiene que terminar.
2947,RT @ernestomaciast: Colombia no tiene recursos para recibir y atender la grave crisis humanitaria de venezolanos que sigue llegando al país. Nuestros hospitales están colapsando y la inseguridad es creciente. La Dictadura tiene que terminar.
2953,"RT @CARLOSFMEJIA: Farc, ELN y otros grupos de criminales, estan reclutando a caminantes venezolanos que huyen de la dictadura de @NicolasMaduro https://t.co/zv7WTYmTWv"
2954,"El problema es que hasta los criminales que tenemos en Colombia se aprovechan de la situación de muchos venezolanos para ampliar sus ""negocios"" (droga, robo, etc.) ley para todos, para extranjeros y propios #BuscandoFuturo #DeportemosALosMalos"
2958,@jaarreaza @CancilleriaVE @BuenosAires2018 Típico de los gobiernos socialistas y ladrones apropiarse de logros de deportistas que no son el esfuerzo del estado. Miles de jóvenes venezolanos a esta hora no han almorzado y menos cenado. Eso si es el logro de gobierno de Venezuela
2960,Ayer fui a la panadería y me atendió un venezolano... Luego fui a la olla a comprar perico y me atendió otro venezolano... Luego donde las putas y me atendio una venezolana... O sea a dónde putas se fueron los paisas?
2961,"RT @Jeskaze: A este líder social de @petrogustavo se le chispoteó y terminó confesando qué va a ser de Colombia cuando el chavista @petrogustavo sea presidente. “Ya los veo huyendo a Miami como ratas”, dice. Debió haber dicho “como venezolanos”. Sigan jugando con candela. https://t.co/UrH7ltvmqU"
2962,"RT @Jeskaze: A este líder social de @petrogustavo se le chispoteó y terminó confesando qué va a ser de Colombia cuando el chavista @petrogustavo sea presidente. “Ya los veo huyendo a Miami como ratas”, dice. Debió haber dicho “como venezolanos”. Sigan jugando con candela. https://t.co/UrH7ltvmqU"
2964,"RT @Jeskaze: A este líder social de @petrogustavo se le chispoteó y terminó confesando qué va a ser de Colombia cuando el chavista @petrogustavo sea presidente. “Ya los veo huyendo a Miami como ratas”, dice. Debió haber dicho “como venezolanos”. Sigan jugando con candela. https://t.co/UrH7ltvmqU"
2965,"RT @asantosrubino: Van dos millones de venezolanos en Colombia y se llegaría a cuatro. Canciller dice que costará 26 billones. Es hoy el gran desafío del país. Crece xenofobia, inseguridad, enfermedades, informalidad. Niños desnutridos. Urge estrategia integral de todo el Estado."
2967,"RT @CARLOSFMEJIA: Farc, ELN y otros grupos de criminales, estan reclutando a caminantes venezolanos que huyen de la dictadura de @NicolasMaduro https://t.co/zv7WTYmTWv"
2970,"RT @Jeskaze: A este líder social de @petrogustavo se le chispoteó y terminó confesando qué va a ser de Colombia cuando el chavista @petrogustavo sea presidente. “Ya los veo huyendo a Miami como ratas”, dice. Debió haber dicho “como venezolanos”. Sigan jugando con candela. https://t.co/UrH7ltvmqU"
2980,RT @ernestomaciast: Colombia no tiene recursos para recibir y atender la grave crisis humanitaria de venezolanos que sigue llegando al país. Nuestros hospitales están colapsando y la inseguridad es creciente. La Dictadura tiene que terminar.
2983,"QT @liliantintori: RT @AkiTaLoTuyo: QUE PAYASA Y MANIPULADORA ERES HACIENDO TODO ESO PORQUE VIENEN ELECCIONES https://t.co/5jGQTenHgt ; Nos tiramos al piso en nombre de los 3 presos políticos que han muerto en el SEBIN, pero también en nombre de todos los venezolanos que han muerto porque no tenían comida, medicinas o los asesinó la inseguridad #DDHH https://t.co/umvmWBR0QH"
2992,"Señores @transmetrobaq Trataron el tema de las oleadas de venezolanos que suben al sistema a vender productos o pedir dinero? En un recorrido desde portal soledad hasta estación joe se llegaron a subir 7 vendedores al bus, antier. Hay inseguridad. Qué medidas adoptarán?"
2996,🇨🇱Vamos donde las putas 🇺🇾Vamos donde las putas 🇦🇷Vamos donde las putas 🇧🇷Vamos donde las putas 🇨🇴Vamos donde las venecas 🇹🇷Vamos donde las sirias :v
2998,RT @NoticiasCaracol: El Zulia FC decidió expulsar a los dos futbolistas venezolanos que maltrataron a un gato https://t.co/E6fn996hey https://t.co/IPN4CdAMMS
3003,RT @antongiral: @CMILANOTICIA @petrogustavo Que peligro Representa @petrogustavo Ciegos y Sordos los que se dejan Embaucar del Ideólogo del Chavismo No ven la Realidad de Los Hnos Venezolanos? Por Mero Instinto de Conservación JAMÁS Votaría por #petrosky que lo que con tanto esfuerzo se Consigue No Se Pierda Ni se Expropie
3004,"RT @rubenzuleta: En lo corrido del año 2018 #PoliciaCucuta ha capturado 100 personas por el delito de porte ilegal de armas de fuego, de los cuales 20 han sido ciudadanos #Venezolanos, así como 256 personas por porte de estupefacientes de los cuales 56 han sido ciudadanos #Venezolanos. https://t.co/G4RYWU9TsL"
3006,"RT @VTVcanal8: #EnDirecto 🔴 | Vicepdte. @TareckPSUV: Hemos detectado varias redes que se dedicaban al contrabando de extracción al robo de nuestra moneda, y la imposición de bandas criminales del dólar especulativo. La intención de ellos es desestabilizar la economía venezolana https://t.co/5WoZ4Wc52h"
3008,QT @iLordPetrosky: RT @chrquirogaok: Coman mierda hijueputas. https://t.co/j9Tqntib8D ; En mi gobierno venecas para todos.
3009,"RT @jesusmedinae: Así se encuentra el consulado de Chile en Venezuela en estos momentos. Venezolanos intentan tramitar visa para poder escapar de la narcodictadura en todas sus facetas como: La inseguridad, falta de alimentos, medicinas etc. https://t.co/1xCGC781KS"
3012,"@TatMateus Todo es una mierda, pero ahora es peor por esos hijueputas venecos. Estoy re ofendido."
3025,"RT @DaBe01: @Mari_Battemberg Y así es como está realmente #PuertoCarreño Lleno de venezolanos, unos comercializando sus productos y otros ejerciendo la delincuencia #vichada https://t.co/OmTC4fmT9N"
3032,Esto pone en peligro las vidas de estas personas y la de nosotros los usuarios del sistema masivo @transmetrobaq pedirle a las autoridades mas control para frenar a estos venezolanos en las estaciones y buses @PoliciaBquilla @alcaldiabquilla @AlejandroChar #EstParqueCultural https://t.co/jRNAdEIQ7B
